31	10
10	240
437	10
10	740
789	10
1112	10
10	2278
10	2737
3408	10
10	3933
10	5147
10	5337
10	6955
10	8113
10	8850
10475	10
10	10500
10	11006
10	12259
12956	10
10	13111
10	13539
10	13812
10	13986
21	1380
21	2734
2972	21
21	5680
21	8135
12672	21
31	10
31	45
31	390
31	606
31	762
31	801
31	960
31	1031
31	1168
1307	31
31	1445
31	1916
31	2196
31	2207
31	2214
31	2360
2429	31
31	2723
31	2849
31	2915
3306	31
31	3383
31	3592
31	3717
31	3802
31	4276
31	4368
4461	31
31	4596
31	4831
31	4833
31	5199
31	5452
5906	31
31	5911
31	6355
31	6401
31	6436
6821	31
31	6869
31	7021
31	7048
7784	31
31	7904
31	7950
31	7964
31	7991
31	8174
31	8265
31	8293
8338	31
31	8609
31	8769
8972	31
31	9044
31	9905
31	10825
31	10837
31	10980
31	11027
11305	31
31	11328
31	11707
31	12376
31	12439
31	12589
31	12654
31	12660
31	12675
31	12701
31	12874
31	13059
13103	31
31	13266
31	13296
31	13364
31	13522
31	13841
31	14026
31	14187
31	14374
14543	31
31	15193
31	15204
2972	34
5680	34
34	5764
34	5954
6183	34
34	6792
8135	34
9196	34
11843	34
12672	34
36	718
36	789
36	830
36	996
36	3845
36	4228
36	4276
36	4417
5015	36
36	6345
36	6984
36	7048
36	7746
36	7753
36	7970
36	8728
36	9905
36	10110
36	10690
36	12701
36	13266
36	13534
36	13823
36	13901
36	14551
36	14741
789	42
31	45
437	45
740	45
789	45
45	1523
1973	45
45	2738
3592	45
45	3887
45	4368
45	4646
7549	45
10952	45
45	11707
12956	45
13111	45
584	51
789	51
5858	51
7549	51
51	7963
7970	51
9100	51
11676	51
51	12906
52	1580
52	3802
52	3887
52	4276
52	7048
52	7962
52	8265
52	8362
52	9255
52	11006
52	11682
52	12874
52	13105
52	13111
52	14860
63	4378
63	5714
7549	63
8135	63
10181	63
63	11266
63	12129
12672	63
63	15070
2734	67
2972	67
5680	67
12672	67
78	1373
78	2335
2734	78
6183	78
82	1110
6183	85
11843	107
1594	109
109	4808
8694	109
789	114
830	114
2260	114
3887	114
7549	114
10952	114
115	10432
11843	115
740	120
1973	120
4867	120
7549	120
11337	120
11940	120
393	121
621	121
1830	121
2160	121
3306	121
3333	121
3603	121
3937	121
4276	121
4867	121
5015	121
5147	121
5401	121
121	5552
6702	121
6821	121
6869	121
7021	121
7048	121
7178	121
7859	121
7950	121
8362	121
9225	121
9877	121
121	10549
10571	121
11940	121
121	12593
12874	121
121	13159
13208	121
121	13335
121	13356
13522	121
121	14315
15073	121
789	132
4084	132
7337	132
7970	132
11859	132
13263	132
133	656
1380	133
2734	133
4378	133
133	8198
9368	133
12257	133
2972	134
6183	134
8135	134
11843	134
12672	134
656	140
1380	140
140	2019
140	2313
2350	140
2972	140
6183	140
140	6221
1380	143
143	1551
143	4615
143	5102
11266	143
143	11911
2972	157
8135	157
9196	157
11843	157
1566	164
2734	164
5491	164
164	6490
1008	169
169	2019
2405	169
2737	169
4520	169
169	4766
169	4769
169	4879
169	5356
169	5903
169	6177
169	7178
10500	169
169	10690
169	12831
169	13466
1380	172
2734	172
2934	172
4378	172
5680	172
6183	172
7970	172
8135	172
8329	172
11266	172
11843	172
12257	172
13690	172
686	182
830	182
946	182
1172	182
2196	182
182	3029
3549	182
4228	182
4251	182
4520	182
4596	182
5015	182
5881	182
5954	182
6059	182
6962	182
9134	182
9596	182
182	9712
9905	182
182	10857
10952	182
12152	182
12497	182
12893	182
13356	182
13364	182
13989	182
182	15220
31	187
740	187
789	187
830	187
1068	187
187	1598
187	2156
2260	187
2278	187
2330	187
2399	187
4520	187
5147	187
5680	187
6821	187
7549	187
7970	187
7991	187
10736	187
11337	187
12252	187
12672	187
12956	187
187	13014
2872	190
2934	190
2972	190
6183	190
8135	190
11843	190
13690	190
1566	191
2734	191
6039	191
6546	191
8694	191
10776	191
11750	191
789	200
7423	200
7970	200
740	206
789	206
2129	206
5680	206
6183	206
11843	206
12672	206
789	207
1112	207
1183	207
1973	207
2596	207
2986	207
3212	207
3577	207
4251	207
207	4890
5401	207
5452	207
7242	207
7337	207
8717	207
207	9316
11337	207
13807	207
789	214
789	234
10	240
240	960
240	1068
240	1183
240	1544
240	3110
240	3457
240	4431
240	4992
240	5147
240	6693
240	7024
240	7188
7746	240
8133	240
